Title,Company,Location,Stipend,Duration,Source,Link
Marketing,Apidel Technologies,Vadodara,"₹ 4,500 - 6,000 /month",6 Months,Internshala,https://internshala.com/internship/detail/part-time-marketing-internship-in-vadodara-at-apidel-technologies1782473288
Graphic Design,Purplle,Mumbai,"₹ 15,000 - 20,000 /month",6 Months,Internshala,https://internshala.com/internship/detail/graphic-design-internship-in-mumbai-at-purplle1782390366
Sales and Marketing,Aditya Birla Fashion & Retail Limited (ABFRL),Bangalore,"₹ 3,000 - 5,000 /month",2 Months,Internshala,https://internshala.com/internship/detail/sales-and-marketing-internship-in-bangalore-at-aditya-birla-fashion-retail-limited-abfrl1782364990
Recruitment,Barbeque Nation Hospitality Limited,Bangalore,"₹ 10,000 - 12,000 /month",6 Months,Internshala,https://internshala.com/internship/detail/recruitment-internship-in-bangalore-at-barbeque-nation-hospitality-limited1782278350
Social Media Marketing,Sportskeeda,Work from home,"₹ 8,000 - 10,000 /month",6 Months,Internshala,https://internshala.com/internship/detail/work-from-home-social-media-marketing-internship-at-sportskeeda1782216100
Business Development (Sales),Generali Central Life Insurance Company Limited,Lucknow,"₹ 15,000 - 25,000 /month",2 Months,Internshala,https://internshala.com/internship/detail/business-development-sales-internship-in-lucknow-at-generali-central-life-insurance-company-limited1782194059
Digital Marketing,Team Management Services (TMS),Mumbai,"₹ 8,000 - 10,000 /month",6 Months,Internshala,https://internshala.com/internship/detail/digital-marketing-internship-in-mumbai-at-team-management-services-tms1782199678
Book Cover Designers & Children Book Designers WFO,Arihant Publications,"Ghaziabad, Greater Noida, Noida","₹ 12,000 - 15,000 /month",3 Months,Internshala,https://internshala.com/internship/detail/book-cover-designers-children-book-designers-wfo-internship-in-multiple-locations-at-arihant-publications1782197431
Content Writing,NDTV Worldwide,Delhi,"₹ 11,000 - 12,000 /month",2 Months,Internshala,https://internshala.com/internship/detail/content-writing-internship-in-delhi-at-ndtv-worldwide1782119365
Car Expert,Cars24 Services Private Limited,"Gurgaon, Delhi","₹ 10,000 - 15,000 /month",3 Months,Internshala,https://internshala.com/internship/detail/car-expert-internship-in-multiple-locations-at-cars24-services-private-limited1782109714
Digital Marketing,Team Management Services (TMS),"Thane, Navi Mumbai, Dombivli, Kalyan, Mumbai, Vashi, Sion Koliwada, Kurla","₹ 9,000 - 10,000 /month",6 Months,Internshala,https://internshala.com/internship/detail/digital-marketing-internship-in-multiple-locations-at-team-management-services-tms1781787751
Hotel Management (Operations),Altruist Technologies,Mumbai,"₹ 6,000 - 8,000 /month",6 Months,Internshala,https://internshala.com/internship/detail/hotel-management-operations-internship-in-mumbai-at-altruist-technologies1781782291
Sales,Godrej Properties Limited,Navi Mumbai,"₹ 14,000 - 15,000 /month",3 Months,Internshala,https://internshala.com/internship/detail/sales-internship-in-navi-mumbai-at-godrej-properties-limited1781779661
Sales,ZoloStays,Coimbatore,"₹ 15,000 - 15,001 /month",3 Months,Internshala,https://internshala.com/internship/detail/sales-internship-in-coimbatore-at-zolostays1781761707
Recruitment,Buzzworks Business Service Private Limited,"Navi Mumbai, Belapur","₹ 9,999 - 10,000 /month",6 Months,Internshala,https://internshala.com/internship/detail/recruitment-internship-in-multiple-locations-at-buzzworks-business-service-private-limited1781683225
Talent Acquisition,Kaya,Mumbai,"₹ 8,000 - 10,000 /month",6 Months,Internshala,https://internshala.com/internship/detail/talent-acquisition-internship-in-mumbai-at-kaya1781682323
Operations,Matrix Business Services India Private Limited,Chennai,"₹ 9,000 - 15,000 /month",3 Months,Internshala,https://internshala.com/internship/detail/operations-internship-in-chennai-at-matrix-business-services-india-private-limited1781681221
Web Development,Hindustan Times Media Limited,Work from home,"₹ 27,000 - 35,000 /month",2 Months,Internshala,https://internshala.com/internship/detail/work-from-home-web-development-internship-at-hindustan-times-media-limited1781670727
HR Transformation Fellowship,Aptos Retail,Bangalore,"₹ 40,000 - 80,000 /month",4 Months,Internshala,https://internshala.com/internship/detail/hr-transformation-fellowship-internship-in-bangalore-at-aptos-retail1781625780
Corporate Travel Desk Consultant,Zycus InfoTech,Mumbai,"₹ 25,000 /month",6 Months,Internshala,https://internshala.com/internship/detail/corporate-travel-desk-consultant-internship-in-mumbai-at-zycus-infotech1781598650
Graphic Designer,Greater Than Educational Technologies,Hyderabad,"₹ 12,000 - 15,000 /month",3 Months,Internshala,https://internshala.com/internship/detail/graphic-designer-internship-in-hyderabad-at-greater-than-educational-technologies1781525739
